,Year,Anomaly,CO2
0,1880,-0.11,290.7
1,1881,-0.13,291.2
2,1882,-0.01,291.7
3,1883,-0.04,292.1
4,1884,-0.42,292.6
5,1885,-0.23,293.0
6,1886,-0.25,293.3
7,1887,-0.45,293.6
8,1888,-0.23,293.8
9,1889,0.04,294.0
10,1890,-0.22,294.2
11,1891,-0.55,294.3
12,1892,-0.4,294.5
13,1893,-0.39,294.6
14,1894,-0.32,294.7
15,1895,-0.32,294.8
16,1896,-0.27,294.9
17,1897,-0.15,295.0
18,1898,-0.21,295.2
19,1899,-0.25,295.5
20,1900,-0.05,295.8
21,1901,-0.05,296.1
22,1902,-0.3,296.5
23,1903,-0.35,296.8
24,1904,-0.42,297.2
25,1905,-0.25,297.6
26,1906,-0.15,298.1
27,1907,-0.41,298.5
28,1908,-0.3,298.9
29,1909,-0.31,299.3
30,1910,-0.21,299.7
31,1911,-0.25,300.1
32,1912,-0.33,300.4
33,1913,-0.28,300.8
34,1914,-0.02,301.1
35,1915,0.06,301.4
36,1916,-0.2,301.7
37,1917,-0.46,302.1
38,1918,-0.33,302.4
39,1919,-0.09,302.7
40,1920,-0.15,303.0
41,1921,-0.04,303.4
42,1922,-0.09,303.8
43,1923,-0.16,304.1
44,1924,-0.11,304.5
45,1925,-0.15,305.0
46,1926,0.04,305.4
47,1927,-0.05,305.8
48,1928,0.01,306.3
49,1929,-0.22,306.8
50,1930,-0.03,307.2
51,1931,0.03,307.7
52,1932,0.04,308.2
53,1933,-0.11,308.6
54,1934,0.05,309.0
55,1935,-0.08,309.4
56,1936,0.01,309.8
57,1937,0.12,310.0
58,1938,0.15,310.2
59,1939,-0.02,310.3
60,1940,0.14,310.4
61,1941,0.11,310.4
62,1942,0.1,310.3
63,1943,0.06,310.2
64,1944,0.1,310.1
65,1945,-0.01,310.1
66,1946,0.01,310.1
67,1947,0.12,310.2
68,1948,-0.03,310.3
69,1949,-0.09,310.5
70,1950,-0.17,310.7
71,1951,-0.02,311.1
72,1952,0.03,311.5
73,1953,0.12,311.9
74,1954,-0.09,312.4
75,1955,-0.09,313.0
76,1956,-0.18,313.6
77,1957,0.08,314.2
78,1958,0.1,314.9
79,1959,0.05,315.8
80,1960,-0.02,316.6
81,1961,0.1,317.3
82,1962,0.05,318.1
83,1963,0.03,318.7
84,1964,-0.25,319.2
85,1965,-0.15,320.0
86,1966,-0.07,321.1
87,1967,-0.02,322.0
88,1968,-0.09,322.9
89,1969,0.0,324.2
90,1970,0.04,325.2
91,1971,-0.1,326.1
92,1972,-0.05,327.2
93,1973,0.18,328.8
94,1974,-0.06,329.7
95,1975,-0.02,330.7
96,1976,-0.21,331.8
97,1977,0.16,333.3
98,1978,0.07,334.6
99,1979,0.13,336.9
100,1980,0.27,338.7
101,1981,0.4,339.9
102,1982,0.1,341.1
103,1983,0.34,342.8
104,1984,0.16,344.4
105,1985,0.13,345.9
106,1986,0.19,347.2
107,1987,0.35,348.9
108,1988,0.42,351.5
109,1989,0.28,352.9
110,1990,0.49,354.2
111,1991,0.44,355.6
112,1992,0.16,356.4
113,1993,0.18,357.0
114,1994,0.31,358.9
115,1995,0.47,360.9
116,1996,0.36,362.6
117,1997,0.4,363.8
118,1998,0.71,366.6
119,1999,0.43,368.3
120,2000,0.41,369.5
121,2001,0.56,371.0
122,2002,0.7,373.1
123,2003,0.66,375.6
124,2004,0.6,377.4
